service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
120_20251214,1,1,1,1,1,1,0,20251214,20261212
121_20251214,1,1,1,1,1,1,1,20251214,20261212
122_20251214,1,1,1,1,1,1,1,20251214,20261212
123_20251214,1,1,1,1,1,1,0,20251214,20261212
124_20251214,1,1,1,1,1,1,1,20251214,20261212
125_20251214,1,1,1,1,1,1,0,20251214,20261212
126_20251214,1,1,1,1,1,0,1,20251214,20261212
127_20251214,1,1,1,1,1,1,1,20251214,20261212
128_20260102,1,1,1,1,1,1,0,20260102,20261212
129_20260101,1,1,1,1,1,0,1,20260101,20261212
130_20260102,1,1,1,1,1,1,1,20260102,20261212
131_20260102,1,1,1,1,1,1,1,20260102,20261212
132_20251214,1,1,1,1,1,1,1,20251214,20261212
133_20251214,1,1,1,1,1,1,1,20251214,20261212
134_20251214,1,1,1,1,1,1,1,20251214,20261212
135_20251214,1,1,1,1,1,0,1,20251214,20261212
136_20260302,1,1,1,1,1,0,1,20260302,20261212
137_20260101,1,1,1,1,1,1,1,20260101,20261212
180_20260102,1,1,1,1,1,1,1,20260102,20261212
182_20260102,1,1,1,1,1,1,1,20260102,20261212
184_20260101,1,1,1,1,1,1,1,20260101,20261212
186_20260101,1,1,1,1,1,1,1,20260101,20261212
481_20260102,1,1,1,1,1,1,1,20260102,20261212
482_20260102,1,1,1,1,1,1,1,20260102,20261212
485_20251214,1,1,1,1,1,1,1,20251214,20261212
486_20251214,1,1,1,1,1,1,1,20251214,20261212
510_20260102,1,1,1,1,1,1,1,20260102,20261212
511_20260102,1,1,1,1,1,1,1,20260102,20261212
512_20251214,1,1,1,1,1,1,1,20251214,20261212
513_20251214,1,1,1,1,1,1,1,20251214,20261212
514_20260101,1,1,1,1,1,1,1,20260101,20261212
515_20260101,1,1,1,1,1,1,1,20260101,20261212
516_20251214,1,0,0,0,0,0,1,20251214,20261212
517_20251214,0,0,0,1,1,0,0,20251214,20261212
518_20251214,1,0,0,0,0,0,1,20251214,20261212
519_20251214,0,0,0,1,1,0,0,20251214,20261212
520_20260405,1,1,1,1,1,1,0,20260405,20261212
521_20260405,1,1,1,1,1,1,0,20260405,20261212
522_20251214,0,0,0,0,0,0,1,20251214,20261212
523_20251214,1,1,1,1,1,1,1,20251214,20261212
524_20251214,1,1,1,1,1,1,1,20251214,20261212
525_20251214,0,0,0,1,1,0,0,20251214,20261212
526_20251214,1,0,0,0,0,0,1,20251214,20261212
527_20251214,0,0,0,0,0,1,0,20251214,20261212
528_20260101,1,1,1,1,1,1,1,20260101,20261212
529_20260101,1,1,1,1,1,1,1,20260101,20261212
540_20260316,1,1,1,1,1,1,1,20260316,20261212
541_20260316,1,1,1,1,1,1,1,20260316,20261212
542_20260316,1,1,1,1,1,1,1,20260316,20261212
543_20260316,1,1,1,1,1,1,1,20260316,20261212
544_20260316,1,1,1,1,1,1,1,20260316,20261212
545_20260316,1,1,1,1,1,1,1,20260316,20261212
570_20251214,1,1,1,1,1,1,1,20251214,20261212
572_20251214,1,1,1,1,1,1,1,20251214,20261212
574_20260101,1,1,1,1,1,1,1,20260101,20261212
580_20251214,1,1,1,1,1,1,1,20251214,20261212
581_20251214,1,1,1,1,1,0,0,20251214,20261212
582_20251214,1,1,1,1,1,0,0,20251214,20261212
583_20251214,1,1,1,1,1,0,0,20251214,20261212
584_20251214,1,1,1,1,1,1,1,20251214,20261212
585_20251214,1,1,1,1,1,1,1,20251214,20261212
587_20251214,1,1,1,1,1,1,1,20251214,20261212
588_20260101,1,1,1,1,1,1,1,20260101,20261212
590_20251214,1,1,1,1,1,0,0,20251214,20261212
592_20251214,1,1,1,1,1,0,0,20251214,20261212
594_20251214,1,1,1,1,1,1,1,20251214,20261212
596_20251214,1,1,1,1,1,1,1,20251214,20261212
598_20260101,1,1,1,1,1,1,1,20260101,20261212
620_20251214,1,1,1,1,1,1,1,20251214,20261212
621_20251214,1,1,1,1,1,1,1,20251214,20261212
670_20251215,1,1,1,1,1,1,1,20251215,20261212
672_20251214,1,1,1,1,1,1,1,20251214,20261212
674_20260101,1,1,1,1,1,1,1,20260101,20261212
680_20251214,1,1,1,1,1,0,0,20251214,20261212
682_20251214,1,1,1,1,1,0,0,20251214,20261212
684_20251214,1,1,1,1,1,0,0,20251214,20261212
686_20251214,1,1,1,1,1,0,0,20251214,20261212
688_20260101,1,1,1,1,1,1,1,20260101,20261212
690_20251214,1,1,1,1,1,0,0,20251214,20261212
692_20251214,1,1,1,1,1,1,1,20251214,20261212
694_20251214,1,1,1,1,1,1,1,20251214,20261212
696_20260101,1,1,1,1,1,1,1,20260101,20261212
698_20251214,1,1,1,1,1,0,0,20251214,20261212
720_20251214,1,1,1,1,1,1,1,20251214,20261212
721_20251214,1,1,1,1,1,1,1,20251214,20261212
722_20251214,1,1,1,1,1,1,1,20251214,20261212
723_20260208,1,1,1,1,1,1,1,20260208,20261212
730_20260102,1,1,1,1,1,1,0,20260102,20261212
731_20260101,1,1,1,1,1,0,1,20260101,20261212
790_20251214,1,1,1,1,1,0,0,20251214,20261212
800_20260322,1,1,1,1,1,1,1,20260322,20261212
801_20260322,1,1,1,1,1,1,0,20260322,20261212
802_20260322,1,1,1,1,1,1,1,20260322,20261212
804_20260322,1,1,1,1,1,0,1,20260322,20261212
805_20260322,1,1,1,1,1,1,1,20260322,20261212
807_20260322,1,1,1,1,1,1,1,20260322,20261212
809_20260322,0,0,0,1,1,0,0,20260322,20261212
820_20251214,1,0,0,0,0,0,1,20251214,20261212
821_20251214,0,0,0,1,1,0,0,20251214,20261212
830_20260101,1,1,1,1,1,1,1,20260101,20261212
831_20260102,1,1,1,1,1,1,1,20260102,20261212
850_20260102,1,1,1,1,1,1,1,20260102,20261212
851_20260102,1,1,1,1,1,1,1,20260102,20261212
852_20251214,1,1,1,1,1,1,1,20251214,20261212
853_20260102,1,1,1,1,1,1,1,20260102,20261212
854_20251214,1,1,1,1,1,1,1,20251214,20261212
855_20251214,1,1,1,1,1,1,1,20251214,20261212
856_20260101,1,1,1,1,1,1,1,20260101,20261212
857_20251214,1,1,1,1,1,1,1,20251214,20261212
860_20260402,1,1,1,1,1,1,1,20260402,20261212
861_20260402,1,1,1,1,1,1,1,20260402,20261212
862_20260419,1,1,1,1,1,1,1,20260419,20261212
864_20260419,1,1,1,1,1,1,1,20260419,20261212
865_20260402,1,1,1,1,1,1,1,20260402,20261212
866_20260402,1,1,1,1,1,1,1,20260402,20261212
867_20260419,1,1,1,1,1,1,1,20260419,20261212
868_20260402,1,1,1,1,1,1,1,20260402,20261212
869_20260402,1,1,1,1,1,1,1,20260402,20261212
871_20260419,1,1,1,1,1,1,1,20260419,20261212
873_20260402,1,1,1,1,1,1,1,20260402,20261212
874_20260402,1,1,1,1,1,1,1,20260402,20261212
875_20260402,1,1,1,1,1,1,1,20260402,20261212
876_20260402,1,1,1,1,1,1,1,20260402,20261212
877_20260402,1,1,1,1,1,1,1,20260402,20261212
930_20251214,1,1,1,1,1,0,0,20251214,20261212
931_20251214,1,1,1,1,1,0,0,20251214,20261212
932_20251214,1,1,1,1,1,0,0,20251214,20261212
933_20251214,1,1,1,1,1,0,0,20251214,20261212
3000_20260102,1,1,1,1,1,1,1,20260102,20261212
3100_20260102,1,1,1,1,1,1,1,20260102,20261212
3101_20260102,1,1,1,1,1,1,0,20260102,20261212
3102_20260102,1,1,1,1,1,1,0,20260102,20261212
3103_20251214,1,1,1,1,1,0,0,20251214,20261212
3104_20251214,1,1,1,1,1,1,1,20251214,20261212
3105_20260101,1,1,1,1,1,1,1,20260101,20261212
3106_20251214,1,1,1,1,1,1,1,20251214,20261212
3200_20251214,1,1,1,1,1,1,1,20251214,20261212
3202_20260101,1,1,1,1,1,1,1,20260101,20261212
3300_20251214,1,1,1,1,1,1,1,20251214,20261212
3301_20260102,1,1,1,1,1,1,1,20260102,20261212
3302_20251214,1,1,1,1,1,0,0,20251214,20261212
3303_20251214,1,1,1,1,1,1,1,20251214,20261212
3304_20251214,1,1,1,1,1,1,1,20251214,20261212
3305_20251214,1,1,1,1,1,1,1,20251214,20261212
3307_20260101,1,1,1,1,1,1,1,20260101,20261212
3309_20260101,1,1,1,1,1,1,1,20260101,20261212
3400_20260425,0,0,0,0,0,1,0,20260425,20260425
3400_20260426,1,0,0,0,0,0,0,20260426,20260427
3400_20260502,0,0,0,0,0,1,0,20260502,20260502
3400_20260503,1,0,0,0,0,0,0,20260503,20260504
3400_20260509,0,0,0,0,0,1,0,20260509,20260509
3400_20260510,1,0,0,0,0,0,0,20260510,20260511
3400_20260516,0,0,0,0,0,1,0,20260516,20260516
3400_20260517,1,1,1,1,1,1,0,20260517,20261212
3401_20260418,1,1,1,1,0,0,1,20260418,20260423
3401_20260424,0,0,0,0,1,0,0,20260424,20260424
3401_20260425,1,1,1,1,0,0,1,20260425,20260430
3401_20260501,0,0,0,0,1,0,0,20260501,20260501
3401_20260502,1,1,1,1,0,0,1,20260502,20260507
3401_20260508,0,0,0,0,1,0,0,20260508,20260508
3401_20260509,1,1,1,1,0,0,1,20260509,20260514
3401_20260515,0,0,0,0,1,0,0,20260515,20260515
3401_20260516,1,1,1,1,1,0,1,20260516,20261212
4000_20260402,1,1,1,1,1,1,1,20260402,20261212
4001_20260420,1,1,1,1,1,0,0,20260420,20260424
4001_20260425,0,0,0,0,0,1,1,20260425,20260426
4001_20260427,1,1,1,1,0,0,0,20260427,20260430
4001_20260501,0,0,0,0,1,0,0,20260501,20260501
4001_20260502,0,0,0,0,0,1,1,20260502,20260503
4001_20260504,1,1,1,1,1,0,0,20260504,20260508
