route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
21-94_2006-94_30007,1094_CP,AP,,,2,,FFFFFF,000000
21-94_2006-94_73007,1094_CP,AP,,,2,,FFFFFF,000000
21-94_29157-94_30007,1094_CP,AP,,,2,,FFFFFF,000000
21-94_30007-94_2006,1094_CP,AP,,,2,,FFFFFF,000000
21-94_30007-94_29157,1094_CP,AP,,,2,,FFFFFF,000000
21-94_73007-94_2006,1094_CP,AP,,,2,,FFFFFF,000000
22-94_2006-94_29157,1094_CP,IC,,,2,,FFFFFF,000000
22-94_2006-94_30007,1094_CP,IC,,,2,,FFFFFF,000000
22-94_7005-94_30007,1094_CP,IC,,,2,,FFFFFF,000000
22-94_24000-94_30007,1094_CP,IC,,,2,,FFFFFF,000000
22-94_29157-94_30007,1094_CP,IC,,,2,,FFFFFF,000000
22-94_30007-94_2006,1094_CP,IC,,,2,,FFFFFF,000000
22-94_30007-94_7005,1094_CP,IC,,,2,,FFFFFF,000000
22-94_30007-94_24000,1094_CP,IC,,,2,,FFFFFF,000000
22-94_30007-94_29157,1094_CP,IC,,,2,,FFFFFF,000000
22-94_30007-94_49007,1094_CP,IC,,,2,,FFFFFF,000000
22-94_30007-94_52001,1094_CP,IC,,,2,,FFFFFF,000000
22-94_31039-94_73007,1094_CP,IC,,,2,,FFFFFF,000000
22-94_31039-94_83006,1094_CP,IC,,,2,,FFFFFF,000000
22-94_49007-94_30007,1094_CP,IC,,,2,,FFFFFF,000000
22-94_49007-94_52001,1094_CP,IC,,,2,,FFFFFF,000000
22-94_52001-94_30007,1094_CP,IC,,,2,,FFFFFF,000000
22-94_52001-94_49007,1094_CP,IC,,,2,,FFFFFF,000000
22-94_52001-94_54007,1094_CP,IC,,,2,,FFFFFF,000000
22-94_54007-94_52001,1094_CP,IC,,,2,,FFFFFF,000000
22-94_73007-94_31039,1094_CP,IC,,,2,,FFFFFF,000000
22-94_74005-94_75002,1094_CP,IC,,,2,,FFFFFF,000000
22-94_75002-94_74005,1094_CP,IC,,,2,,FFFFFF,000000
22-94_75002-94_83006,1094_CP,IC,,,2,,FFFFFF,000000
22-94_83006-94_31039,1094_CP,IC,,,2,,FFFFFF,000000
22-94_83006-94_75002,1094_CP,IC,,,2,,FFFFFF,000000
23-94_1008-94_7005,1094_CP,IR,,,2,,FFFFFF,000000
23-94_1008-94_10009,1094_CP,IR,,,2,,FFFFFF,000000
23-94_1008-94_12005,1094_CP,IR,,,2,,FFFFFF,000000
23-94_2006-94_7005,1094_CP,IR,,,2,,FFFFFF,000000
23-94_2006-94_10009,1094_CP,IR,,,2,,FFFFFF,000000
23-94_2006-94_12005,1094_CP,IR,,,2,,FFFFFF,000000
23-94_2006-94_30007,1094_CP,IR,,,2,,FFFFFF,000000
23-94_7005-94_1008,1094_CP,IR,,,2,,FFFFFF,000000
23-94_7005-94_2006,1094_CP,IR,,,2,,FFFFFF,000000
23-94_7005-94_64113,1094_CP,IR,,,2,,FFFFFF,000000
23-94_10009-94_1008,1094_CP,IR,,,2,,FFFFFF,000000
23-94_10009-94_12005,1094_CP,IR,,,2,,FFFFFF,000000
23-94_12005-94_1008,1094_CP,IR,,,2,,FFFFFF,000000
23-94_12005-94_2006,1094_CP,IR,,,2,,FFFFFF,000000
23-94_30007-94_40154,1094_CP,IR,,,2,,FFFFFF,000000
23-94_30007-94_62042,1094_CP,IR,,,2,,FFFFFF,000000
23-94_34009-94_2006,1094_CP,IR,,,2,,FFFFFF,000000
23-94_36004-94_63008,1094_CP,IR,,,2,,FFFFFF,000000
23-94_40154-94_30007,1094_CP,IR,,,2,,FFFFFF,000000
23-94_62042-94_30007,1094_CP,IR,,,2,,FFFFFF,000000
23-94_62042-94_63008,1094_CP,IR,,,2,,FFFFFF,000000
23-94_63008-94_36004,1094_CP,IR,,,2,,FFFFFF,000000
23-94_63008-94_62042,1094_CP,IR,,,2,,FFFFFF,000000
23-94_63008-94_64113,1094_CP,IR,,,2,,FFFFFF,000000
23-94_64113-94_7005,1094_CP,IR,,,2,,FFFFFF,000000
24-71_37606-94_34009,1094_CP,R,,,2,,FFFFFF,000000
24-94_1008-94_9001,1094_CP,R,,,2,,FFFFFF,000000
24-94_1008-94_10009,1094_CP,R,,,2,,FFFFFF,000000
24-94_2006-94_18002,1094_CP,R,,,2,,FFFFFF,000000
24-94_2006-94_30007,1094_CP,R,,,2,,FFFFFF,000000
24-94_2006-94_39040,1094_CP,R,,,2,,FFFFFF,000000
24-94_6007-94_7005,1094_CP,R,,,2,,FFFFFF,000000
24-94_6007-94_18002,1094_CP,R,,,2,,FFFFFF,000000
24-94_7005-94_2006,1094_CP,R,,,2,,FFFFFF,000000
24-94_7005-94_6007,1094_CP,R,,,2,,FFFFFF,000000
24-94_7005-94_18002,1094_CP,R,,,2,,FFFFFF,000000
24-94_9001-94_10009,1094_CP,R,,,2,,FFFFFF,000000
24-94_10009-94_2006,1094_CP,R,,,2,,FFFFFF,000000
24-94_10009-94_9001,1094_CP,R,,,2,,FFFFFF,000000
24-94_12005-94_10009,1094_CP,R,,,2,,FFFFFF,000000
24-94_18002-94_6007,1094_CP,R,,,2,,FFFFFF,000000
24-94_30007-94_34009,1094_CP,R,,,2,,FFFFFF,000000
24-94_30007-94_40154,1094_CP,R,,,2,,FFFFFF,000000
24-94_30007-94_52167,1094_CP,R,,,2,,FFFFFF,000000
24-94_30007-94_62042,1094_CP,R,,,2,,FFFFFF,000000
24-94_34009-71_37606,1094_CP,R,,,2,,FFFFFF,000000
24-94_34009-94_2006,1094_CP,R,,,2,,FFFFFF,000000
24-94_34009-94_30007,1094_CP,R,,,2,,FFFFFF,000000
24-94_34009-94_36004,1094_CP,R,,,2,,FFFFFF,000000
24-94_34009-94_38299,1094_CP,R,,,2,,FFFFFF,000000
24-94_34009-94_52001,1094_CP,R,,,2,,FFFFFF,000000
24-94_34009-94_52167,1094_CP,R,,,2,,FFFFFF,000000
24-94_35006-94_36004,1094_CP,R,,,2,,FFFFFF,000000
24-94_36004-94_2006,1094_CP,R,,,2,,FFFFFF,000000
24-94_36004-94_34009,1094_CP,R,,,2,,FFFFFF,000000
24-94_36004-94_38000,1094_CP,R,,,2,,FFFFFF,000000
24-94_36004-94_49007,1094_CP,R,,,2,,FFFFFF,000000
24-94_36004-94_63008,1094_CP,R,,,2,,FFFFFF,000000
24-94_38000-94_36004,1094_CP,R,,,2,,FFFFFF,000000
24-94_38000-94_42218,1094_CP,R,,,2,,FFFFFF,000000
24-94_38000-94_42325,1094_CP,R,,,2,,FFFFFF,000000
24-94_38000-94_43000,1094_CP,R,,,2,,FFFFFF,000000
24-94_39040-94_30007,1094_CP,R,,,2,,FFFFFF,000000
24-94_40154-94_30007,1094_CP,R,,,2,,FFFFFF,000000
24-94_42218-94_38000,1094_CP,R,,,2,,FFFFFF,000000
24-94_42325-94_38000,1094_CP,R,,,2,,FFFFFF,000000
24-94_43000-94_38000,1094_CP,R,,,2,,FFFFFF,000000
24-94_44016-94_44339,1094_CP,R,,,2,,FFFFFF,000000
24-94_44339-94_44016,1094_CP,R,,,2,,FFFFFF,000000
24-94_49007-94_30007,1094_CP,R,,,2,,FFFFFF,000000
24-94_49007-94_36004,1094_CP,R,,,2,,FFFFFF,000000
24-94_49007-94_49460,1094_CP,R,,,2,,FFFFFF,000000
24-94_49007-94_54007,1094_CP,R,,,2,,FFFFFF,000000
24-94_49460-94_49007,1094_CP,R,,,2,,FFFFFF,000000
24-94_52001-94_34009,1094_CP,R,,,2,,FFFFFF,000000
24-94_52167-94_30007,1094_CP,R,,,2,,FFFFFF,000000
24-94_52167-94_34009,1094_CP,R,,,2,,FFFFFF,000000
24-94_52167-94_52647,1094_CP,R,,,2,,FFFFFF,000000
24-94_52647-94_52167,1094_CP,R,,,2,,FFFFFF,000000
24-94_52647-94_53009,1094_CP,R,,,2,,FFFFFF,000000
24-94_53009-94_52647,1094_CP,R,,,2,,FFFFFF,000000
24-94_53009-94_54007,1094_CP,R,,,2,,FFFFFF,000000
24-94_54007-94_49007,1094_CP,R,,,2,,FFFFFF,000000
24-94_54007-94_53009,1094_CP,R,,,2,,FFFFFF,000000
24-94_62042-94_30007,1094_CP,R,,,2,,FFFFFF,000000
24-94_62042-94_63008,1094_CP,R,,,2,,FFFFFF,000000
24-94_63008-94_36004,1094_CP,R,,,2,,FFFFFF,000000
24-94_63008-94_62042,1094_CP,R,,,2,,FFFFFF,000000
24-94_64113-94_63008,1094_CP,R,,,2,,FFFFFF,000000
24-94_73007-94_73569,1094_CP,R,,,2,,FFFFFF,000000
24-94_73007-94_90464,1094_CP,R,,,2,,FFFFFF,000000
24-94_73569-94_73007,1094_CP,R,,,2,,FFFFFF,000000
24-94_74278-94_75002,1094_CP,R,,,2,,FFFFFF,000000
24-94_75002-94_74278,1094_CP,R,,,2,,FFFFFF,000000
24-94_90290-94_90464,1094_CP,R,,,2,,FFFFFF,000000
24-94_90464-94_73007,1094_CP,R,,,2,,FFFFFF,000000
24-94_90464-94_90290,1094_CP,R,,,2,,FFFFFF,000000
25-94_1008-94_8318,1094_CP,Linha do Marco,,,109,,0000FF,FFFFFF
25-94_1008-94_9001,1094_CP,Linha do Marco,,,109,,0000FF,FFFFFF
25-94_1008-94_24000,1094_CP,Linha de Guimaraes,,,109,,FF0000,FFFFFF
25-94_1008-94_29157,1094_CP,Linha de Braga,,,109,,008000,FFFFFF
25-94_1008-94_38000,1094_CP,Linha de Aveiro,,,109,,FFA500,FFFFFF
25-94_1008-94_38299,1094_CP,Linha de Aveiro,,,109,,FFA500,FFFFFF
25-94_2006-94_21071,1094_CP,Linha de Leixoes,,,109,,A988A7,FFFFFF
25-94_2006-94_38000,1094_CP,Linha de Aveiro,,,109,,FFA500,FFFFFF
25-94_2006-94_38299,1094_CP,Linha de Aveiro,,,109,,FFA500,FFFFFF
25-94_5074-94_29157,1094_CP,Linha de Braga,,,109,,008000,FFFFFF
25-94_8086-94_1008,1094_CP,Linha do Marco,,,109,,0000FF,FFFFFF
25-94_8318-94_1008,1094_CP,Linha do Marco,,,109,,0000FF,FFFFFF
25-94_9001-94_1008,1094_CP,Linha do Marco,,,109,,0000FF,FFFFFF
25-94_21071-94_2006,1094_CP,Linha de Leixoes,,,109,,A988A7,FFFFFF
25-94_21071-94_38299,1094_CP,Linha de Leixoes,,,109,,A988A7,FFFFFF
25-94_24000-94_1008,1094_CP,Linha de Guimaraes,,,109,,FF0000,FFFFFF
25-94_29157-94_1008,1094_CP,Linha de Braga,,,109,,008000,FFFFFF
25-94_29157-94_5074,1094_CP,Linha de Braga,,,109,,008000,FFFFFF
25-94_30007-94_33001,1094_CP,Linha da Azambuja,,,109,,FF0000,FFFFFF
25-94_31039-94_33001,1094_CP,U,,,109,,FFFFFF,000000
25-94_31039-94_61101,1094_CP,Linha de Sintra,,,109,,008000,FFFFFF
25-94_31187-94_31039,1094_CP,U,,,109,,FFFFFF,000000
25-94_31187-94_61101,1094_CP,Linha da Azambuja,,,109,,FF0000,FFFFFF
25-94_31310-94_67025,1094_CP,Linha da Azambuja,,,109,,FF0000,FFFFFF
25-94_33001-94_30007,1094_CP,Linha da Azambuja,,,109,,FF0000,FFFFFF
25-94_33001-94_67025,1094_CP,Linha da Azambuja,,,109,,FF0000,FFFFFF
