stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
94_1008,,Porto Sao Bento,,41.14556679,-8.610221145,,,0,,Europe/Lisbon,0
94_2006,,Porto Campanha,,41.14871926,-8.584835348,,,0,,Europe/Lisbon,0
94_3004,,Contumil,,41.16871141,-8.574777658,,,0,,Europe/Lisbon,0
94_3038,,Rio Tinto,,41.18459158,-8.557095957,,,0,,Europe/Lisbon,0
94_3046,,Aguas Santas - Palmilheira,,41.20173,-8.55674,,,0,,Europe/Lisbon,0
94_4002,,Ermesinde,,41.21703724,-8.554192457,,,0,,Europe/Lisbon,0
94_4010,,Travagem,,41.22833283,-8.551720165,,,0,,Europe/Lisbon,0
94_4036,,Leandro,,41.24376571,-8.556680902,,,0,,Europe/Lisbon,0
94_4051,,Sao Frutuoso,,41.25835633,-8.558143032,,,0,,Europe/Lisbon,0
94_4077,,Sao Romao,,41.278255,-8.553094,,,0,,Europe/Lisbon,0
94_4101,,Portela,,41.301502,-8.54909,,,0,,Europe/Lisbon,0
94_4630,,Trofa,,41.337437,-8.547573,,,0,,Europe/Lisbon,0
94_5009,,Lousado,,41.3512482,-8.526193832,,,0,,Europe/Lisbon,0
94_5033,,Esmeriz,,41.37950789,-8.521499279,,,0,,Europe/Lisbon,0
94_5058,,Barrimau,,41.38983612,-8.526119758,,,0,,Europe/Lisbon,0
94_5074,,Famalicao,,41.40495653,-8.529522021,,,0,,Europe/Lisbon,0
94_5108,,Mouquim,,41.42894219,-8.522012347,,,0,,Europe/Lisbon,0
94_5116,,Louro,,41.43696435,-8.538176287,,,0,,Europe/Lisbon,0
94_6007,,Nine,,41.45546082,-8.54506881,,,0,,Europe/Lisbon,0
94_6056,,Carreira,,41.48679299,-8.563958669,,,0,,Europe/Lisbon,0
94_6080,,Midoes,,41.50825966,-8.581835077,,,0,,Europe/Lisbon,0
94_6122,,Barcelos,,41.53664495,-8.608985454,,,0,,Europe/Lisbon,0
94_6155,,Silva,,41.56592973,-8.627669074,,,0,,Europe/Lisbon,0
94_6197,,Carapecos,,41.58561592,-8.632905954,,,0,,Europe/Lisbon,0
94_6213,,Tamel,,41.60880665,-8.634752401,,,0,,Europe/Lisbon,0
94_6262,,Durraes,,41.63909631,-8.666998185,,,0,,Europe/Lisbon,0
94_6304,,Barroselas,,41.64627095,-8.701119145,,,0,,Europe/Lisbon,0
94_6312,,Senhora das Neves,,41.64670655,-8.720968149,,,0,,Europe/Lisbon,0
94_6338,,Alvaraes,,41.64845736,-8.739572945,,,0,,Europe/Lisbon,0
94_6387,,Darque,,41.68023019,-8.781894945,,,0,,Europe/Lisbon,0
94_6395,,Areia - Darque,,41.684147,-8.799283419,,,0,,Europe/Lisbon,0
94_7005,,Valenca,,42.02467731,-8.639418501,,,0,,Europe/Lisbon,0
94_8029,,Cabeda,,41.22065745,-8.536105639,,,0,,Europe/Lisbon,0
94_8060,,Suzao,,41.1973023,-8.502715022,,,0,,Europe/Lisbon,0
94_8086,,Valongo,,41.18826042,-8.487369937,,,0,,Europe/Lisbon,0
94_8102,,Sao Martinho do Campo,,41.1702346,-8.468335709,,,0,,Europe/Lisbon,0
