route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
21-94_2006-94_30007,120_20251214,120_20251214,Lisboa Santa Apolonia,120,,,,0
21-94_30007-94_2006,121_20251214,121_20251214,Porto Campanha,121,,,,0
21-94_2006-94_30007,122_20251214,122_20251214,Lisboa Santa Apolonia,122,,,,0
21-94_30007-94_2006,123_20251214,123_20251214,Porto Campanha,123,,,,0
21-94_2006-94_30007,124_20251214,124_20251214,Lisboa Santa Apolonia,124,,,,0
21-94_30007-94_2006,125_20251214,125_20251214,Porto Campanha,125,,,,0
21-94_2006-94_30007,126_20251214,126_20251214,Lisboa Santa Apolonia,126,,,,0
21-94_30007-94_2006,127_20251214,127_20251214,Porto Campanha,127,,,,0
21-94_2006-94_30007,128_20260102,128_20260102,Lisboa Santa Apolonia,128,,,,0
21-94_30007-94_2006,129_20260101,129_20260101,Porto Campanha,129,,,,0
21-94_29157-94_30007,130_20260102,130_20260102,Lisboa Santa Apolonia,130,,,,0
21-94_30007-94_29157,131_20260102,131_20260102,Braga,131,,,,0
21-94_29157-94_30007,132_20251214,132_20251214,Lisboa Santa Apolonia,132,,,,0
21-94_30007-94_29157,133_20251214,133_20251214,Braga,133,,,,0
21-94_29157-94_30007,134_20251214,134_20251214,Lisboa Santa Apolonia,134,,,,0
21-94_30007-94_29157,135_20251214,135_20251214,Braga,135,,,,0
21-94_29157-94_30007,136_20260302,136_20260302,Lisboa Santa Apolonia,136,,,,0
21-94_30007-94_29157,137_20260101,137_20260101,Braga,137,,,,0
21-94_2006-94_73007,180_20260102,180_20260102,Faro,180,,,,0
21-94_73007-94_2006,182_20260102,182_20260102,Porto Campanha,182,,,,0
21-94_2006-94_73007,184_20260101,184_20260101,Faro,184,,,,0
21-94_73007-94_2006,186_20260101,186_20260101,Porto Campanha,186,,,,0
24-94_34009-71_37606,481_20260102,481_20260102,Badajoz,481,,,,0
24-71_37606-94_34009,482_20260102,482_20260102,Entroncamento,482,,,,0
24-94_34009-71_37606,485_20251214,485_20251214,Badajoz,485,,,,0
24-71_37606-94_34009,486_20251214,486_20251214,Entroncamento,486,,,,0
22-94_49007-94_30007,510_20260102,510_20260102,Lisboa Santa Apolonia,510,,,,0
22-94_30007-94_49007,511_20260102,511_20260102,Guarda,511,,,,0
22-94_49007-94_30007,512_20251214,512_20251214,Lisboa Santa Apolonia,512,,,,0
22-94_30007-94_49007,513_20251214,513_20251214,Guarda,513,,,,0
22-94_49007-94_30007,514_20260101,514_20260101,Lisboa Santa Apolonia,514,,,,0
22-94_30007-94_49007,515_20260101,515_20260101,Guarda,515,,,,0
22-94_49007-94_30007,516_20251214,516_20251214,Lisboa Santa Apolonia,516,,,,0
22-94_30007-94_49007,517_20251214,517_20251214,Guarda,517,,,,0
22-94_49007-94_30007,518_20251214,518_20251214,Lisboa Santa Apolonia,518,,,,0
22-94_30007-94_49007,519_20251214,519_20251214,Guarda,519,,,,0
22-94_2006-94_30007,520_20260405,520_20260405,Lisboa Santa Apolonia,520,,,,0
22-94_30007-94_2006,521_20260405,521_20260405,Porto Campanha,521,,,,0
22-94_2006-94_30007,522_20251214,522_20251214,Lisboa Santa Apolonia,522,,,,0
22-94_30007-94_2006,523_20251214,523_20251214,Porto Campanha,523,,,,0
22-94_2006-94_30007,524_20251214,524_20251214,Lisboa Santa Apolonia,524,,,,0
22-94_30007-94_2006,525_20251214,525_20251214,Porto Campanha,525,,,,0
22-94_2006-94_30007,526_20251214,526_20251214,Lisboa Santa Apolonia,526,,,,0
22-94_30007-94_2006,527_20251214,527_20251214,Porto Campanha,527,,,,0
