nome,lat,lon,categoria,pessoas_estimadas,confianca,fonte,raciocinio
Hospitais da Universidade de Coimbra (HUC) - ULS Coimbra,40.2199342,-8.4084915,emprego,3900,baixa,"https://www.ulscoimbra.min-saude.pt/ (total >10.000 trabalhadores); coordenada via Nominatim/OSM ('Hospitais da Universidade de Coimbra - Blocos de Celas', corrigida nesta 2ª ronda - a 1ª tentativa por conversão manual de DMS não batia certo)","ULS Coimbra tem >10.000 trabalhadores no TOTAL (2.200 médicos + 3.700 enfermeiros + 2.000 assistentes operacionais + 1.000 assistentes técnicos = 8.900 mínimo confirmado, '+muitos outros profissionais' sugere ~10.500). Esse total cobre HUC + Covões + Maternidade + Pediátrico + dezenas de centros de saúde (ex-ACES) espalhados por VÁRIOS concelhos, não só Coimbra cidade - não há split oficial por edifício. Estimei que os 4 hospitais citadinos representam ~75% do total (~7.875, cuidados hospitalares são mais intensivos em pessoal que um centro de saúde) e que o HUC, sendo o bloco central/maior (urgência geral, maioria do internamento e ambulatório), leva ~50% desse subtotal (~3.900). Tratar como ordem de grandeza, não medição - não mudou da 1ª ronda por não ter encontrado nenhum split oficial nesta pesquisa mais aprofundada."
Hospital Geral - Covões (ULS Coimbra),40.1954461,-8.4594402,emprego,2000,baixa,"Nominatim/OpenStreetMap (Rua 5 de Outubro, São Martinho do Bispo)","Mesmo racional da entrada do HUC acima: ~25% do subtotal hospitalar da ULS Coimbra (hospital geral secundário, menor que o HUC). Estimativa proporcional, sem fonte direta de headcount - não encontrei melhor dado nesta 2ª ronda."
Maternidade Doutor Daniel de Matos (ULS Coimbra),40.207894,-8.4115287,emprego,950,baixa,"Nominatim/OpenStreetMap (Rua Miguel Torga, Calhabé)",NOVA nesta 2ª ronda - não estava no primeiro levantamento. Mesmo racional: ~12% do subtotal hospitalar da ULS Coimbra (unidade especializada). Sem fonte direta de headcount.
Hospital Pediátrico de Coimbra (ULS Coimbra),40.2238157,-8.4138231,emprego,1050,baixa,Nominatim/OpenStreetMap (Avenida Afonso Romão),"~13% do subtotal hospitalar da ULS Coimbra estimado à mão (unidade especializada, mais pequena que HUC/Covões). Tentei confirmar via relatório de contas nesta 2ª ronda mas não encontrei um número específico para esta unidade - só o total da ULS."
IPO Coimbra (Instituto Português de Oncologia),40.217207,-8.41005,emprego,1105,boa,"Relatório de Segurança, Higiene e Saúde no Trabalho do IPO Coimbra (www.ipocoimbra.min-saude.pt/wp-content/uploads/sites/3/2025/05/relatorio-contas-2024.pdf e relatórios de anos anteriores) - 225 médicos + 293 enfermeiros + outros profissionais","CORRIGIDO nesta 2ª ronda - na 1ª tentativa não tinha encontrado nada e deixei None. Agora encontrei o número médio de trabalhadores afetos à unidade no ano: 1.105 (221 homens, 884 mulheres), 225 médicos, 293 enfermeiros. É um dado direto de um relatório oficial de segurança e saúde no trabalho, boa confiança. Entidade SEPARADA da ULS Coimbra (não faz parte da fusão de 2024)."
Universidade de Coimbra - Polo I - Faculdade de Letras,40.2075,-8.42611,emprego,3000,media,"https://pt.wikipedia.org/wiki/Pa%C3%A7o_das_Escolas (coordenadas); notícia institucional ('mais de 3 mil pessoas estudam lá, 20% estrangeiros')","AFINADO nesta 2ª ronda - separei a Faculdade de Letras do resto do Polo I porque encontrei um número direto para ela ('mais de 3 mil'), em vez de continuar a tratar o Polo I inteiro como um bloco só."
"Universidade de Coimbra - Polo I - resto (Direito, Psicologia, Reitoria e serviços centrais)",40.2075,-8.42611,emprego,11500,baixa,https://www.uc.pt/dados/ (total da UC); nenhuma fonte direta por faculdade encontrada para Direito/Psicologia,"Universo total da UC ~34.256 (31.256 estudantes + ~3.000 trabalhadores, uc.pt/dados). Depois de subtrair os totais já sourced individualmente (Letras 3.000, Farmácia 1.789, Medicina 3.000, Economia 2.670, Ciências do Desporto 800) e a estimativa de FCTUC (Polo II, ver abaixo), sobra este valor para Direito + Psicologia + Reitoria + serviços centrais, que ficam todos na zona do Polo I. Tentei em vão encontrar números individuais de Direito e Psicologia nesta 2ª ronda - nenhuma fonte pública os divulga. Bucket residual, não uma medição."
Faculdade de Economia da Universidade de Coimbra (FEUC),40.2064,-8.4127,emprego,2670,boa,"https://www.uc.pt/feuc/contactos-localizacao/ (Av. Dr. Dias da Silva, 165); página institucional (~2.500 estudantes + 130 docentes + 40 funcionários)","NOVA nesta 2ª ronda como ponto separado - a FEUC tem morada própria (Av. Dias da Silva) fisicamente distinta do Paço das Escolas, apesar de administrativamente pertencer ao 'Polo I'. Número direto e razoavelmente sólido: ~2.500 estudantes + 130 docentes + 40 funcionários = 2.670. Coordenada aproximada (não geocodifiquei esta morada especificamente - Av. Dias da Silva fica a sul do Paço das Escolas, perto do rio; usar com alguma cautela, vale a pena confirmar)."
Universidade de Coimbra - Polo II - Faculdade de Ciências e Tecnologia (FCTUC),40.1864532,-8.4126242,emprego,11500,baixa,"Google Maps (coordenadas); Wikipédia PT (confirma ser 'a maior faculdade da UC em nº de professores e estudantes', sem número exato)","FCTUC é confirmada como a maior faculdade única da UC (fonte: Wikipédia), mas não encontrei um número total publicado nem na 1ª nem na 2ª ronda de pesquisa. Atribuí ~50% do residual do universo UC (depois de subtrair as faculdades já sourced) - é a maior fatia do bolo residual, consistente com 'maior faculdade', mas continua a ser uma estimativa à mão, não uma fonte direta."
Universidade de Coimbra - Polo III - Faculdade de Medicina (FMUC),40.2194533,-8.4176226,emprego,3000,media,"Nominatim/OpenStreetMap (Rua Costa Simões, Celas) para coordenadas; página institucional FMUC (~3.000 estudantes de Mestrado Integrado + outros mestrados de saúde)","Número direto da própria faculdade, mas arredondado/aproximado (a fonte diz 'representa cerca de 3.000 estudantes', sem grande precisão). Fica mesmo ao lado do HUC (Celas) - faz sentido, é o mesmo polo académico-hospitalar."
