idx,bus_line,bus_line_passage,bus_stop,bus_time,metro_stop,metro_time_from_origin,origin_ref,date
1,Metro,Metro,Portagem,06:30:00,Portagem,07:38:00,Portela do Mondego,2026-07-13
2,Metro,Metro,Portagem,07:00:00,Portagem,08:18:00,Portela do Mondego,2026-07-13
3,Metro,Metro,Portagem,07:30:00,Portagem,08:58:00,Portela do Mondego,2026-07-13
4,Metro,Metro,Portagem,07:40:00,Portagem,09:38:00,Portela do Mondego,2026-07-13
5,Metro,Metro,Portagem,07:50:00,Portagem,10:18:00,Portela do Mondego,2026-07-13
6,Metro,Metro,Portagem,08:00:00,Portagem,10:58:00,Portela do Mondego,2026-07-13
7,Metro,Metro,Portagem,08:10:00,Portagem,11:38:00,Portela do Mondego,2026-07-13
8,Metro,Metro,Portagem,08:20:00,Portagem,12:18:00,Portela do Mondego,2026-07-13
9,Metro,Metro,Portagem,08:30:00,Portagem,12:58:00,Portela do Mondego,2026-07-13
10,Metro,Metro,Portagem,08:40:00,Portagem,13:38:00,Portela do Mondego,2026-07-13
11,Metro,Metro,Portagem,08:50:00,Portagem,14:18:00,Portela do Mondego,2026-07-13
12,Metro,Metro,Portagem,09:00:00,Portagem,14:58:00,Portela do Mondego,2026-07-13
13,Metro,Metro,Portagem,09:10:00,Portagem,15:38:00,Portela do Mondego,2026-07-13
14,Metro,Metro,Portagem,09:20:00,Portagem,16:18:00,Portela do Mondego,2026-07-13
15,Metro,Metro,Portagem,09:30:00,Portagem,16:58:00,Portela do Mondego,2026-07-13
16,Metro,Metro,Portagem,10:00:00,Portagem,17:38:00,Portela do Mondego,2026-07-13
17,Metro,Metro,Portagem,10:30:00,Portagem,18:18:00,Portela do Mondego,2026-07-13
18,Metro,Metro,Portagem,11:00:00,Portagem,18:58:00,Portela do Mondego,2026-07-13
19,Metro,Metro,Portagem,11:30:00,Portagem,19:38:00,Portela do Mondego,2026-07-13
20,Metro,Metro,Portagem,12:00:00,Portagem,20:18:00,Portela do Mondego,2026-07-13
21,Metro,Metro,Portagem,12:30:00,Portagem,21:00:00,Portela do Mondego,2026-07-13
22,Metro,Metro,Portagem,13:00:00,Portagem,,Portela do Mondego,2026-07-13
23,Metro,Metro,Portagem,13:30:00,Portagem,,Portela do Mondego,2026-07-13
24,Metro,Metro,Portagem,14:00:00,Portagem,,Portela do Mondego,2026-07-13
25,Metro,Metro,Portagem,14:30:00,Portagem,,Portela do Mondego,2026-07-13
26,Metro,Metro,Portagem,15:00:00,Portagem,,Portela do Mondego,2026-07-13
27,Metro,Metro,Portagem,16:10:00,Portagem,,Portela do Mondego,2026-07-13
28,Metro,Metro,Portagem,16:20:00,Portagem,,Portela do Mondego,2026-07-13
29,Metro,Metro,Portagem,16:40:00,Portagem,,Portela do Mondego,2026-07-13
30,Metro,Metro,Portagem,16:50:00,Portagem,,Portela do Mondego,2026-07-13
31,Metro,Metro,Portagem,17:10:00,Portagem,,Portela do Mondego,2026-07-13
32,Metro,Metro,Portagem,17:20:00,Portagem,,Portela do Mondego,2026-07-13
33,Metro,Metro,Portagem,17:40:00,Portagem,,Portela do Mondego,2026-07-13
34,Metro,Metro,Portagem,17:50:00,Portagem,,Portela do Mondego,2026-07-13
35,Metro,Metro,Portagem,18:10:00,Portagem,,Portela do Mondego,2026-07-13
36,Metro,Metro,Portagem,18:20:00,Portagem,,Portela do Mondego,2026-07-13
37,Metro,Metro,Portagem,18:40:00,Portagem,,Portela do Mondego,2026-07-13
38,Metro,Metro,Portagem,18:50:00,Portagem,,Portela do Mondego,2026-07-13
39,Metro,Metro,Portagem,19:30:00,Portagem,,Portela do Mondego,2026-07-13
40,Metro,Metro,Portagem,20:30:00,Portagem,,Portela do Mondego,2026-07-13
41,Metro,Metro,Portagem,21:30:00,Portagem,,Portela do Mondego,2026-07-13
42,Metro,Metro,Portagem,22:30:00,Portagem,,Portela do Mondego,2026-07-13
43,Metro,Metro,Portagem,23:30:00,Portagem,,Portela do Mondego,2026-07-13
