metro_time,next_bus_time,next_bus_line,wait_min,wait_class,period
06:28:00,07:38:00,54,70.0,>15,manha
06:58:00,07:38:00,54,40.0,>15,manha
07:28:00,07:38:00,54,10.0,<=10,manha
07:38:00,07:38:00,54,0.0,<=10,manha
07:51:00,08:18:00,54,27.0,>15,manha
07:59:00,08:18:00,54,19.0,>15,manha
08:08:00,08:18:00,54,10.0,<=10,manha
08:22:00,08:58:00,54,36.0,>15,manha
08:31:00,08:58:00,54,27.0,>15,manha
08:41:00,08:58:00,54,17.0,>15,manha
08:51:00,08:58:00,54,7.0,<=10,manha
09:01:00,09:38:00,54,37.0,>15,manha
09:11:00,09:38:00,54,27.0,>15,manha
09:21:00,09:38:00,54,17.0,>15,manha
09:31:00,09:38:00,54,7.0,<=10,manha
09:41:00,10:18:00,54,37.0,>15,manha
09:51:00,10:18:00,54,27.0,>15,manha
10:01:00,10:18:00,54,17.0,>15,manha
10:11:00,10:18:00,54,7.0,<=10,manha
10:22:00,10:58:00,54,36.0,>15,manha
10:28:00,10:58:00,54,30.0,>15,manha
10:58:00,10:58:00,54,0.0,<=10,manha
11:28:00,11:38:00,54,10.0,<=10,manha
11:58:00,12:18:00,54,20.0,>15,manha
12:28:00,12:58:00,54,30.0,>15,meio_dia
12:58:00,12:58:00,54,0.0,<=10,meio_dia
13:28:00,13:38:00,54,10.0,<=10,meio_dia
13:58:00,14:18:00,54,20.0,>15,meio_dia
14:28:00,14:58:00,54,30.0,>15,meio_dia
15:28:00,15:38:00,54,10.0,<=10,meio_dia
16:51:00,16:58:00,54,7.0,<=10,meio_dia
17:21:00,17:38:00,54,17.0,>15,tarde_noite
17:51:00,18:18:00,54,27.0,>15,tarde_noite
18:21:00,18:58:00,54,37.0,>15,tarde_noite
18:51:00,18:58:00,54,7.0,<=10,tarde_noite
19:21:00,19:38:00,54,17.0,>15,tarde_noite
19:42:00,20:18:00,54,36.0,>15,tarde_noite
20:28:00,21:00:00,54,32.0,>15,tarde_noite
21:28:00,,,,sem_ligacao,tarde_noite
22:28:00,,,,sem_ligacao,tarde_noite
23:28:00,,,,sem_ligacao,tarde_noite
