metro_time,next_bus_time,next_bus_line,wait_min,wait_class,period
06:28:00,07:22:00,54,54.0,>15,manha
06:58:00,07:22:00,54,24.0,>15,manha
07:28:00,08:02:00,54,34.0,>15,manha
07:38:00,08:02:00,54,24.0,>15,manha
07:51:00,08:02:00,54,11.0,10-15,manha
07:59:00,08:02:00,54,3.0,<=10,manha
08:08:00,08:42:00,54,34.0,>15,manha
08:22:00,08:42:00,54,20.0,>15,manha
08:31:00,08:42:00,54,11.0,10-15,manha
08:41:00,08:42:00,54,1.0,<=10,manha
08:51:00,09:22:00,54,31.0,>15,manha
09:01:00,09:22:00,54,21.0,>15,manha
09:11:00,09:22:00,54,11.0,10-15,manha
09:21:00,09:22:00,54,1.0,<=10,manha
09:31:00,10:02:00,54,31.0,>15,manha
09:41:00,10:02:00,54,21.0,>15,manha
09:51:00,10:02:00,54,11.0,10-15,manha
10:01:00,10:02:00,54,1.0,<=10,manha
10:11:00,10:42:00,54,31.0,>15,manha
10:22:00,10:42:00,54,20.0,>15,manha
10:28:00,10:42:00,54,14.0,10-15,manha
10:58:00,11:22:00,54,24.0,>15,manha
11:28:00,12:02:00,54,34.0,>15,manha
11:58:00,12:02:00,54,4.0,<=10,manha
12:28:00,12:42:00,54,14.0,10-15,meio_dia
12:58:00,13:22:00,54,24.0,>15,meio_dia
13:28:00,14:02:00,54,34.0,>15,meio_dia
13:58:00,14:02:00,54,4.0,<=10,meio_dia
14:28:00,14:42:00,54,14.0,10-15,meio_dia
15:28:00,16:02:00,54,34.0,>15,meio_dia
16:51:00,17:22:00,54,31.0,>15,meio_dia
17:21:00,17:22:00,54,1.0,<=10,tarde_noite
17:51:00,18:02:00,54,11.0,10-15,tarde_noite
18:21:00,18:42:00,54,21.0,>15,tarde_noite
18:51:00,19:22:00,54,31.0,>15,tarde_noite
19:21:00,19:22:00,54,1.0,<=10,tarde_noite
19:42:00,20:02:00,54,20.0,>15,tarde_noite
20:28:00,20:44:00,54,16.0,>15,tarde_noite
21:28:00,,,,sem_ligacao,tarde_noite
22:28:00,,,,sem_ligacao,tarde_noite
23:28:00,,,,sem_ligacao,tarde_noite
