metro_time,next_bus_time,next_bus_line,wait_min,wait_class,period
07:38:00,07:40:00,Metro,2.0,<=10,manha
08:18:00,08:20:00,Metro,2.0,<=10,manha
08:58:00,09:00:00,Metro,2.0,<=10,manha
09:38:00,10:00:00,Metro,22.0,>15,manha
10:18:00,10:30:00,Metro,12.0,10-15,manha
10:58:00,11:00:00,Metro,2.0,<=10,manha
11:38:00,12:00:00,Metro,22.0,>15,manha
12:18:00,12:30:00,Metro,12.0,10-15,meio_dia
12:58:00,13:00:00,Metro,2.0,<=10,meio_dia
13:38:00,14:00:00,Metro,22.0,>15,meio_dia
14:18:00,14:30:00,Metro,12.0,10-15,meio_dia
14:58:00,15:00:00,Metro,2.0,<=10,meio_dia
15:38:00,16:10:00,Metro,32.0,>15,meio_dia
16:18:00,16:20:00,Metro,2.0,<=10,meio_dia
16:58:00,17:10:00,Metro,12.0,10-15,meio_dia
17:38:00,17:40:00,Metro,2.0,<=10,tarde_noite
18:18:00,18:20:00,Metro,2.0,<=10,tarde_noite
18:58:00,19:30:00,Metro,32.0,>15,tarde_noite
19:38:00,20:30:00,Metro,52.0,>15,tarde_noite
20:18:00,20:30:00,Metro,12.0,10-15,tarde_noite
21:00:00,21:30:00,Metro,30.0,>15,tarde_noite
