metro_time,next_bus_time,next_bus_line,wait_min,wait_class,period
07:30:00,07:30:00,Metro,0.0,<=10,manha
07:50:00,07:50:00,Metro,0.0,<=10,manha
08:10:00,08:10:00,Metro,0.0,<=10,manha
08:30:00,08:30:00,Metro,0.0,<=10,manha
08:50:00,08:50:00,Metro,0.0,<=10,manha
09:10:00,09:10:00,Metro,0.0,<=10,manha
09:30:00,09:30:00,Metro,0.0,<=10,manha
09:50:00,10:00:00,Metro,10.0,<=10,manha
10:10:00,10:30:00,Metro,20.0,>15,manha
10:30:00,10:30:00,Metro,0.0,<=10,manha
10:50:00,11:00:00,Metro,10.0,<=10,manha
11:10:00,11:30:00,Metro,20.0,>15,manha
11:30:00,11:30:00,Metro,0.0,<=10,manha
11:50:00,12:00:00,Metro,10.0,<=10,manha
12:10:00,12:30:00,Metro,20.0,>15,meio_dia
12:30:00,12:30:00,Metro,0.0,<=10,meio_dia
12:50:00,13:00:00,Metro,10.0,<=10,meio_dia
13:10:00,13:30:00,Metro,20.0,>15,meio_dia
13:30:00,13:30:00,Metro,0.0,<=10,meio_dia
13:50:00,14:00:00,Metro,10.0,<=10,meio_dia
14:10:00,14:30:00,Metro,20.0,>15,meio_dia
14:30:00,14:30:00,Metro,0.0,<=10,meio_dia
14:50:00,15:00:00,Metro,10.0,<=10,meio_dia
15:10:00,16:10:00,Metro,60.0,>15,meio_dia
15:30:00,16:10:00,Metro,40.0,>15,meio_dia
15:50:00,16:10:00,Metro,20.0,>15,meio_dia
16:10:00,16:10:00,Metro,0.0,<=10,meio_dia
16:30:00,16:40:00,Metro,10.0,<=10,meio_dia
16:50:00,16:50:00,Metro,0.0,<=10,meio_dia
17:10:00,17:10:00,Metro,0.0,<=10,tarde_noite
17:30:00,17:40:00,Metro,10.0,<=10,tarde_noite
17:50:00,17:50:00,Metro,0.0,<=10,tarde_noite
18:10:00,18:10:00,Metro,0.0,<=10,tarde_noite
18:30:00,18:40:00,Metro,10.0,<=10,tarde_noite
18:50:00,18:50:00,Metro,0.0,<=10,tarde_noite
19:10:00,19:30:00,Metro,20.0,>15,tarde_noite
19:30:00,19:30:00,Metro,0.0,<=10,tarde_noite
19:50:00,20:30:00,Metro,40.0,>15,tarde_noite
20:10:00,20:30:00,Metro,20.0,>15,tarde_noite
20:30:00,20:30:00,Metro,0.0,<=10,tarde_noite
20:52:00,21:30:00,Metro,38.0,>15,tarde_noite
21:12:00,21:30:00,Metro,18.0,>15,tarde_noite
