idx,bus_line,bus_line_passage,bus_stop,bus_time,metro_stop,metro_time_from_origin,origin_ref,date
22,54+38,,Portagem,,Portagem,10:58:00,Portela,2026-07-13
23,54+38,,Portagem,,Portagem,11:28:00,Portela,2026-07-13
24,54+38,,Portagem,,Portagem,11:58:00,Portela,2026-07-13
25,54+38,,Portagem,,Portagem,12:28:00,Portela,2026-07-13
26,54+38,,Portagem,,Portagem,12:58:00,Portela,2026-07-13
27,54+38,,Portagem,,Portagem,13:28:00,Portela,2026-07-13
28,54+38,,Portagem,,Portagem,13:58:00,Portela,2026-07-13
29,54+38,,Portagem,,Portagem,14:28:00,Portela,2026-07-13
30,54+38,,Portagem,,Portagem,15:28:00,Portela,2026-07-13
31,54+38,,Portagem,,Portagem,16:51:00,Portela,2026-07-13
32,54+38,,Portagem,,Portagem,17:21:00,Portela,2026-07-13
33,54+38,,Portagem,,Portagem,17:51:00,Portela,2026-07-13
34,54+38,,Portagem,,Portagem,18:21:00,Portela,2026-07-13
35,54+38,,Portagem,,Portagem,18:51:00,Portela,2026-07-13
36,54+38,,Portagem,,Portagem,19:21:00,Portela,2026-07-13
37,54+38,,Portagem,,Portagem,19:42:00,Portela,2026-07-13
38,54+38,,Portagem,,Portagem,20:28:00,Portela,2026-07-13
39,54+38,,Portagem,,Portagem,21:28:00,Portela,2026-07-13
40,54+38,,Portagem,,Portagem,22:28:00,Portela,2026-07-13
41,54+38,,Portagem,,Portagem,23:28:00,Portela,2026-07-13
1,54+38,54,Portagem,07:30:00,Portagem,06:28:00,Portela,2026-07-13
2,54+38,54,Portagem,08:10:00,Portagem,06:58:00,Portela,2026-07-13
3,54+38,54,Portagem,08:50:00,Portagem,07:28:00,Portela,2026-07-13
4,54+38,54,Portagem,09:30:00,Portagem,07:38:00,Portela,2026-07-13
5,54+38,54,Portagem,10:10:00,Portagem,07:51:00,Portela,2026-07-13
6,54+38,54,Portagem,10:50:00,Portagem,07:59:00,Portela,2026-07-13
7,54+38,54,Portagem,11:30:00,Portagem,08:08:00,Portela,2026-07-13
8,54+38,54,Portagem,12:10:00,Portagem,08:22:00,Portela,2026-07-13
9,54+38,54,Portagem,12:50:00,Portagem,08:31:00,Portela,2026-07-13
10,54+38,54,Portagem,13:30:00,Portagem,08:41:00,Portela,2026-07-13
11,54+38,54,Portagem,14:10:00,Portagem,08:51:00,Portela,2026-07-13
12,54+38,54,Portagem,14:50:00,Portagem,09:01:00,Portela,2026-07-13
13,54+38,54,Portagem,15:30:00,Portagem,09:11:00,Portela,2026-07-13
14,54+38,54,Portagem,16:10:00,Portagem,09:21:00,Portela,2026-07-13
15,54+38,54,Portagem,16:50:00,Portagem,09:31:00,Portela,2026-07-13
16,54+38,54,Portagem,17:30:00,Portagem,09:41:00,Portela,2026-07-13
17,54+38,54,Portagem,18:10:00,Portagem,09:51:00,Portela,2026-07-13
18,54+38,54,Portagem,18:50:00,Portagem,10:01:00,Portela,2026-07-13
19,54+38,54,Portagem,19:30:00,Portagem,10:11:00,Portela,2026-07-13
20,54+38,54,Portagem,20:10:00,Portagem,10:22:00,Portela,2026-07-13
21,54+38,54,Portagem,20:52:00,Portagem,10:28:00,Portela,2026-07-13
22,54+38,54,Portagem,07:50:00,Portagem,06:28:00,Portela,2026-07-13
23,54+38,54,Portagem,08:30:00,Portagem,06:58:00,Portela,2026-07-13
24,54+38,54,Portagem,09:10:00,Portagem,07:28:00,Portela,2026-07-13
25,54+38,54,Portagem,09:50:00,Portagem,07:38:00,Portela,2026-07-13
26,54+38,54,Portagem,10:30:00,Portagem,07:51:00,Portela,2026-07-13
27,54+38,54,Portagem,11:10:00,Portagem,07:59:00,Portela,2026-07-13
28,54+38,54,Portagem,11:50:00,Portagem,08:08:00,Portela,2026-07-13
29,54+38,54,Portagem,12:30:00,Portagem,08:22:00,Portela,2026-07-13
30,54+38,54,Portagem,13:10:00,Portagem,08:31:00,Portela,2026-07-13
31,54+38,54,Portagem,13:50:00,Portagem,08:41:00,Portela,2026-07-13
32,54+38,54,Portagem,14:30:00,Portagem,08:51:00,Portela,2026-07-13
33,54+38,54,Portagem,15:10:00,Portagem,09:01:00,Portela,2026-07-13
34,54+38,54,Portagem,15:50:00,Portagem,09:11:00,Portela,2026-07-13
35,54+38,54,Portagem,16:30:00,Portagem,09:21:00,Portela,2026-07-13
36,54+38,54,Portagem,17:10:00,Portagem,09:31:00,Portela,2026-07-13
37,54+38,54,Portagem,17:50:00,Portagem,09:41:00,Portela,2026-07-13
38,54+38,54,Portagem,18:30:00,Portagem,09:51:00,Portela,2026-07-13
39,54+38,54,Portagem,19:10:00,Portagem,10:01:00,Portela,2026-07-13
40,54+38,54,Portagem,19:50:00,Portagem,10:11:00,Portela,2026-07-13
41,54+38,54,Portagem,20:30:00,Portagem,10:22:00,Portela,2026-07-13
42,54+38,54,Portagem,21:12:00,Portagem,10:28:00,Portela,2026-07-13
