metro_time,next_bus_time,next_bus_line,wait_min,wait_class,period
07:20:00,07:24:00,Metro,4.0,<=10,manha
08:00:00,08:07:00,Metro,7.0,<=10,manha
08:40:00,08:47:00,Metro,7.0,<=10,manha
09:20:00,09:27:00,Metro,7.0,<=10,manha
10:00:00,10:06:00,Metro,6.0,<=10,manha
10:40:00,10:44:00,Metro,4.0,<=10,manha
11:20:00,11:44:00,Metro,24.0,>15,manha
12:00:00,12:14:00,Metro,14.0,10-15,meio_dia
12:40:00,12:44:00,Metro,4.0,<=10,meio_dia
13:20:00,13:44:00,Metro,24.0,>15,meio_dia
14:00:00,14:14:00,Metro,14.0,10-15,meio_dia
14:40:00,15:14:00,Metro,34.0,>15,meio_dia
15:20:00,16:37:00,Metro,77.0,>15,meio_dia
16:00:00,16:37:00,Metro,37.0,>15,meio_dia
16:40:00,17:07:00,Metro,27.0,>15,meio_dia
17:20:00,17:37:00,Metro,17.0,>15,tarde_noite
18:00:00,18:07:00,Metro,7.0,<=10,tarde_noite
18:40:00,19:07:00,Metro,27.0,>15,tarde_noite
19:20:00,19:27:00,Metro,7.0,<=10,tarde_noite
20:00:00,20:14:00,Metro,14.0,10-15,tarde_noite
20:40:00,21:14:00,Metro,34.0,>15,tarde_noite
