idx,bus_line,bus_line_passage,bus_stop,bus_time,metro_stop,metro_time_from_origin,origin_ref,date
1,Metro,Metro,Portela,06:14:00,Portela do Mondego,07:20:00,Portagem,2026-05-11
2,Metro,Metro,Portela,06:44:00,Portela do Mondego,08:00:00,Portagem,2026-05-11
3,Metro,Metro,Portela,07:14:00,Portela do Mondego,08:40:00,Portagem,2026-05-11
4,Metro,Metro,Portela,07:24:00,Portela do Mondego,09:20:00,Portagem,2026-05-11
5,Metro,Metro,Portela,07:36:00,Portela do Mondego,10:00:00,Portagem,2026-05-11
6,Metro,Metro,Portela,07:44:00,Portela do Mondego,10:40:00,Portagem,2026-05-11
7,Metro,Metro,Portela,07:54:00,Portela do Mondego,11:20:00,Portagem,2026-05-11
8,Metro,Metro,Portela,08:07:00,Portela do Mondego,12:00:00,Portagem,2026-05-11
9,Metro,Metro,Portela,08:17:00,Portela do Mondego,12:40:00,Portagem,2026-05-11
10,Metro,Metro,Portela,08:27:00,Portela do Mondego,13:20:00,Portagem,2026-05-11
11,Metro,Metro,Portela,08:37:00,Portela do Mondego,14:00:00,Portagem,2026-05-11
12,Metro,Metro,Portela,08:47:00,Portela do Mondego,14:40:00,Portagem,2026-05-11
13,Metro,Metro,Portela,08:57:00,Portela do Mondego,15:20:00,Portagem,2026-05-11
14,Metro,Metro,Portela,09:07:00,Portela do Mondego,16:00:00,Portagem,2026-05-11
15,Metro,Metro,Portela,09:17:00,Portela do Mondego,16:40:00,Portagem,2026-05-11
16,Metro,Metro,Portela,09:27:00,Portela do Mondego,17:20:00,Portagem,2026-05-11
17,Metro,Metro,Portela,09:37:00,Portela do Mondego,18:00:00,Portagem,2026-05-11
18,Metro,Metro,Portela,09:47:00,Portela do Mondego,18:40:00,Portagem,2026-05-11
19,Metro,Metro,Portela,09:57:00,Portela do Mondego,19:20:00,Portagem,2026-05-11
20,Metro,Metro,Portela,10:06:00,Portela do Mondego,20:00:00,Portagem,2026-05-11
21,Metro,Metro,Portela,10:14:00,Portela do Mondego,20:40:00,Portagem,2026-05-11
22,Metro,Metro,Portela,10:44:00,Portela do Mondego,,Portagem,2026-05-11
23,Metro,Metro,Portela,11:14:00,Portela do Mondego,,Portagem,2026-05-11
24,Metro,Metro,Portela,11:44:00,Portela do Mondego,,Portagem,2026-05-11
25,Metro,Metro,Portela,12:14:00,Portela do Mondego,,Portagem,2026-05-11
26,Metro,Metro,Portela,12:44:00,Portela do Mondego,,Portagem,2026-05-11
27,Metro,Metro,Portela,13:14:00,Portela do Mondego,,Portagem,2026-05-11
28,Metro,Metro,Portela,13:44:00,Portela do Mondego,,Portagem,2026-05-11
29,Metro,Metro,Portela,14:14:00,Portela do Mondego,,Portagem,2026-05-11
30,Metro,Metro,Portela,15:14:00,Portela do Mondego,,Portagem,2026-05-11
31,Metro,Metro,Portela,16:37:00,Portela do Mondego,,Portagem,2026-05-11
32,Metro,Metro,Portela,17:07:00,Portela do Mondego,,Portagem,2026-05-11
33,Metro,Metro,Portela,17:37:00,Portela do Mondego,,Portagem,2026-05-11
34,Metro,Metro,Portela,18:07:00,Portela do Mondego,,Portagem,2026-05-11
35,Metro,Metro,Portela,18:37:00,Portela do Mondego,,Portagem,2026-05-11
36,Metro,Metro,Portela,19:07:00,Portela do Mondego,,Portagem,2026-05-11
37,Metro,Metro,Portela,19:27:00,Portela do Mondego,,Portagem,2026-05-11
38,Metro,Metro,Portela,20:14:00,Portela do Mondego,,Portagem,2026-05-11
39,Metro,Metro,Portela,21:14:00,Portela do Mondego,,Portagem,2026-05-11
40,Metro,Metro,Portela,22:14:00,Portela do Mondego,,Portagem,2026-05-11
41,Metro,Metro,Portela,23:14:00,Portela do Mondego,,Portagem,2026-05-11
