metro_time,next_bus_time,next_bus_line,wait_min,wait_class,period
07:12:00,07:14:00,Metro,2.0,<=10,manha
07:32:00,07:36:00,Metro,4.0,<=10,manha
07:52:00,07:54:00,Metro,2.0,<=10,manha
08:12:00,08:17:00,Metro,5.0,<=10,manha
08:32:00,08:37:00,Metro,5.0,<=10,manha
08:52:00,08:57:00,Metro,5.0,<=10,manha
09:12:00,09:17:00,Metro,5.0,<=10,manha
09:32:00,09:37:00,Metro,5.0,<=10,manha
09:52:00,09:57:00,Metro,5.0,<=10,manha
10:12:00,10:14:00,Metro,2.0,<=10,manha
10:32:00,10:44:00,Metro,12.0,10-15,manha
10:52:00,11:14:00,Metro,22.0,>15,manha
11:12:00,11:14:00,Metro,2.0,<=10,manha
11:32:00,11:44:00,Metro,12.0,10-15,manha
11:52:00,12:14:00,Metro,22.0,>15,manha
12:12:00,12:14:00,Metro,2.0,<=10,meio_dia
12:32:00,12:44:00,Metro,12.0,10-15,meio_dia
12:52:00,13:14:00,Metro,22.0,>15,meio_dia
13:12:00,13:14:00,Metro,2.0,<=10,meio_dia
13:32:00,13:44:00,Metro,12.0,10-15,meio_dia
13:52:00,14:14:00,Metro,22.0,>15,meio_dia
14:12:00,14:14:00,Metro,2.0,<=10,meio_dia
14:32:00,15:14:00,Metro,42.0,>15,meio_dia
14:52:00,15:14:00,Metro,22.0,>15,meio_dia
15:12:00,15:14:00,Metro,2.0,<=10,meio_dia
15:32:00,16:37:00,Metro,65.0,>15,meio_dia
15:52:00,16:37:00,Metro,45.0,>15,meio_dia
16:12:00,16:37:00,Metro,25.0,>15,meio_dia
16:32:00,16:37:00,Metro,5.0,<=10,meio_dia
16:52:00,17:07:00,Metro,15.0,10-15,meio_dia
17:12:00,17:37:00,Metro,25.0,>15,tarde_noite
17:32:00,17:37:00,Metro,5.0,<=10,tarde_noite
17:52:00,18:07:00,Metro,15.0,10-15,tarde_noite
18:12:00,18:37:00,Metro,25.0,>15,tarde_noite
18:32:00,18:37:00,Metro,5.0,<=10,tarde_noite
18:52:00,19:07:00,Metro,15.0,10-15,tarde_noite
19:12:00,19:27:00,Metro,15.0,10-15,tarde_noite
19:32:00,20:14:00,Metro,42.0,>15,tarde_noite
19:52:00,20:14:00,Metro,22.0,>15,tarde_noite
20:12:00,20:14:00,Metro,2.0,<=10,tarde_noite
20:32:00,21:14:00,Metro,42.0,>15,tarde_noite
20:52:00,21:14:00,Metro,22.0,>15,tarde_noite
