line,avg_freq_min,overlap_extension_m,line_extension_m,overlap_pct,overlap_stops,overlap_stop_ids,total_stops,directions_considered,radius_extension_m,radius_extension_pct,radius_m,temporal_overlaps_count,temporal_overlaps_pct,temporal_overlap_stop_ids,temporal_spatial_candidates_count,__meta_smtuc_dataset,__meta_metro_dataset,__meta_walk_speed_m_min,__meta_stadium_lat,__meta_stadium_lon,__meta_radius_m,__meta_spatial_overlap_walk_min,__meta_temporal_overlap_max_min,__meta_sig_smtuc,__meta_sig_metro
10,13.9,7653.0,44487.7,17.2,21,1143;1583;474;509;515;630;632;634;768;776;778;781;791;908;911;917;918;923;926;927;944,56,5,20921.8,47.03,2000.0,537,50.0,1143;1583;474;509;515;630;632;634;768;776;778;781;791;908;911;917;918;923;926;927;944,1074,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
10A,219.0,1901.4,32245.9,5.9,12,496;505;509;630;632;634;776;778;781;908;923;926,53,4,3722.2,11.54,2000.0,19,19.59,509;630;632;634;776;778;781;908;923;926,97,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
10F,,190.1,11165.1,1.7,2,474;515,33,1,0.0,0.0,2000.0,0,0.0,,2,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
11,16.6,779.7,6990.8,11.15,4,504;639;777;789,25,2,5996.7,85.78,2000.0,80,59.26,504;639;777;789,135,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
12,34.0,422.6,39150.6,1.08,2,474;495,49,4,0.0,0.0,2000.0,19,39.58,474;495,48,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
12A,,0.0,9763.7,0.0,1,495,29,1,0.0,0.0,2000.0,2,100.0,495,2,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
12R,88.8,211.3,17317.8,1.22,2,474;495,31,2,0.0,0.0,2000.0,6,50.0,474;495,12,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
13,22.6,422.6,43269.2,0.98,2,474;495,59,5,0.0,0.0,2000.0,76,82.61,474;495,92,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
13P,75.0,0.0,13865.5,0.0,2,495;504,43,2,0.0,0.0,2000.0,11,68.75,495;504,16,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
13T,17.5,211.3,20662.9,1.02,3,474;495;506,74,3,0.0,0.0,2000.0,8,100.0,474;495;506,8,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
