line,avg_freq_min,overlap_extension_m,line_extension_m,overlap_pct,overlap_stops,overlap_stop_ids,total_stops,directions_considered,radius_extension_m,radius_extension_pct,radius_m,temporal_overlaps_count,temporal_overlaps_pct,temporal_overlap_stop_ids,temporal_spatial_candidates_count,__meta_smtuc_dataset,__meta_metro_dataset,__meta_walk_speed_m_min,__meta_stadium_lat,__meta_stadium_lon,__meta_radius_m,__meta_spatial_overlap_walk_min,__meta_temporal_overlap_max_min,__meta_sig_smtuc,__meta_sig_metro
10,13.9,10830.0,44487.7,24.34,26,1143;1583;465;472;474;488;509;515;588;589;630;632;634;768;776;778;781;791;908;911;917;918;923;926;927;944,56,5,20921.8,47.03,2000.0,862,63.1,1143;1583;465;472;474;488;509;515;588;589;630;632;634;768;776;778;781;791;908;911;917;918;923;926;927;944,1366,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
10A,219.0,1901.4,32245.9,5.9,12,496;505;509;630;632;634;776;778;781;908;923;926,53,4,3722.2,11.54,2000.0,28,28.87,496;509;630;632;634;776;778;781;908;923;926,97,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
10F,,548.2,11165.1,4.91,4,472;474;488;515,33,1,0.0,0.0,2000.0,3,75.0,472;474;488,4,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
11,16.6,2585.4,6990.8,36.98,10,475;478;479;504;590;602;618;639;777;789,25,2,5996.7,85.78,2000.0,302,83.66,475;478;479;504;590;602;618;639;777;789,361,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
12,34.0,1977.2,39150.6,5.05,6,472;474;486;487;488;495,49,4,0.0,0.0,2000.0,115,95.83,472;474;486;487;488;495,120,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
12A,,0.0,9763.7,0.0,1,495,29,1,0.0,0.0,2000.0,2,100.0,495,2,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
12R,88.8,988.6,17317.8,5.71,6,472;474;486;487;488;495,31,2,0.0,0.0,2000.0,22,78.57,472;474;486;487;488;495,28,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
13,22.6,1977.2,43269.2,4.57,6,472;474;486;487;488;495,59,5,0.0,0.0,2000.0,202,90.18,472;474;486;487;488;495,224,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
13P,75.0,0.0,13865.5,0.0,2,495;504,43,2,0.0,0.0,2000.0,13,81.25,495;504,16,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
13T,17.5,988.6,20662.9,4.78,7,472;474;486;487;488;495;506,74,3,0.0,0.0,2000.0,15,93.75,472;474;486;487;488;495;506,16,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
